Series_Title,Released_Year,Runtime,IMDB_Rating
The Shawshank Redemption,1994,142 min,9.3
The Godfather,1972,175 min,9.2
The Dark Knight,2008,152 min,9
The Godfather: Part II,1974,202 min,9
12 Angry Men,1957,96 min,9
The Lord of the Rings: The Return of the King,2003,201 min,8.9
Pulp Fiction,1994,154 min,8.9
Schindler's List,1993,195 min,8.9
Inception,2010,148 min,8.8
Fight Club,1999,139 min,8.8
The Lord of the Rings: The Fellowship of the Ring,2001,178 min,8.8
Forrest Gump,1994,142 min,8.8
The Lord of the Rings: The Two Towers,2002,179 min,8.7
The Matrix,1999,136 min,8.7
Goodfellas,1990,146 min,8.7
Star Wars: Episode V - The Empire Strikes Back,1980,124 min,8.7
One Flew Over the Cuckoo's Nest,1975,133 min,8.7
Hamilton,2020,160 min,8.6
Gisaengchung,2019,132 min,8.6
Soorarai Pottru,2020,153 min,8.6
Interstellar,2014,169 min,8.6
Cidade de Deus,2002,130 min,8.6
Sen to Chihiro no kamikakushi,2001,125 min,8.6
Saving Private Ryan,1998,169 min,8.6
The Green Mile,1999,189 min,8.6
Se7en,1995,127 min,8.6
The Silence of the Lambs,1991,118 min,8.6
Star Wars,1977,121 min,8.6
Seppuku,1962,133 min,8.6
Shichinin no samurai,1954,207 min,8.6
It's a Wonderful Life,1946,130 min,8.6
Joker,2019,122 min,8.5
Whiplash,2014,106 min,8.5
The Intouchables,2011,112 min,8.5
The Prestige,2006,130 min,8.5
The Departed,2006,151 min,8.5
The Pianist,2002,150 min,8.5
Gladiator,2000,155 min,8.5
American History X,1998,119 min,8.5
The Usual Suspects,1995,106 min,8.5
The Lion King,1994,88 min,8.5
Terminator 2: Judgment Day,1991,137 min,8.5
Nuovo Cinema Paradiso,1988,155 min,8.5
Hotaru no haka,1988,89 min,8.5
Back to the Future,1985,116 min,8.5
Once Upon a Time in the West,1968,165 min,8.5
Psycho,1960,109 min,8.5
Casablanca,1942,102 min,8.5
Modern Times,1936,87 min,8.5
City Lights,1931,87 min,8.5
Ayla: The Daughter of War,2017,125 min,8.4
Vikram Vedha,2017,147 min,8.4
Kimi no na wa.,2016,106 min,8.4
Dangal,2016,161 min,8.4
Spider-Man: Into the Spider-Verse,2018,117 min,8.4
Avengers: Endgame,2019,181 min,8.4
Avengers: Infinity War,2018,149 min,8.4
Coco,2017,105 min,8.4
Django Unchained,2012,165 min,8.4
The Dark Knight Rises,2012,164 min,8.4
3 Idiots,2009,170 min,8.4
Taare Zameen Par,2007,165 min,8.4
The Lives of Others,2006,137 min,8.4
Oldeuboi,2003,101 min,8.4
Memento,2000,113 min,8.4
Mononoke-hime,1997,134 min,8.4
Once Upon a Time in America,1984,229 min,8.4
Raiders of the Lost Ark,1981,115 min,8.4
The Shining,1980,146 min,8.4
Apocalypse Now,1979,147 min,8.4
Alien,1979,117 min,8.4
Anand,1971,122 min,8.4
Tengoku to jigoku,1963,143 min,8.4
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95 min,8.4
Witness for the Prosecution,1957,116 min,8.4
Paths of Glory,1957,88 min,8.4
Rear Window,1954,112 min,8.4
Sunset Blvd.,1950,110 min,8.4
The Great Dictator,1940,125 min,8.4
1917,2019,119 min,8.3
Tumbbad,2018,104 min,8.3
Andhadhun,2018,139 min,8.3
Drishyam,2013,160 min,8.3
Jagten,2012,115 min,8.3
Jodaeiye Nader az Simin,2011,123 min,8.3
Incendies,2010,131 min,8.3
Miracle in cell NO.7,2019,132 min,8.3
Babam ve Oglum,2005,112 min,8.3
Inglourious Basterds,2009,153 min,8.3
Eternal Sunshine of the Spotless Mind,2004,108 min,8.3
Snatch,2000,104 min,8.3
Requiem for a Dream,2000,102 min,8.3
American Beauty,1999,122 min,8.3
Good Will Hunting,1997,126 min,8.3
Bacheha-Ye aseman,1997,89 min,8.3
Toy Story,1995,81 min,8.3
Braveheart,1995,178 min,8.3
Reservoir Dogs,1992,99 min,8.3
Full Metal Jacket,1987,116 min,8.3
Idi i smotri,1985,142 min,8.3
